code,libelle
2,Pêche
3,Plaisance à voile
6,Fluvial / Péniche
8,Planche à voile
9,Véhicule nautique à moteur
10,Sous-marin
11,Aéronef de tourisme
12,Autre aéronef
14,Conchylicole / Aquacole
15,Administration / Armée
16,Canoë / Kayak / Aviron
17,Kitesurf
18,Autre loisir nautique
18,Paddle
19,Annexe
20,Plaisance à moteur < 8m
21,Plaisance à moteur > 8m
22,Surf
24,Commerce
25,Navire à passagers
